ModelName,Data,Hyperparameters,RandomSeed,Score_f2,Score_precision,Score_recall,Score_accuracy
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",4031205779,0.4597701149425288,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",3969966735,0.4597701149425288,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",3745264846,0.43307086614173224,0.5789473684210527,0.4074074074074074,0.8260869565217391
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",1536116610,0.4385964912280702,0.5555555555555556,0.4166666666666667,0.8206521739130435
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",2777773073,0.4597701149425288,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",2774554524,0.4597701149425288,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",2939283760,0.3012048192771084,0.45454545454545453,0.2777777777777778,0.7934782608695652
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",3925694335,0.0,0.0,0.0,0.7555555555555555
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",2188616456,0.0,0.0,0.0,0.7555555555555555
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",460705618,0.4597701149425288,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",3784491879,0.0,0.0,0.0,0.7777777777777778
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",305634858,0.0,0.0,0.0,0.7555555555555555
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",3754191788,0.4597701149425288,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",1059100254,0.11904761904761904,0.5,0.1,0.7777777777777778
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",647960776,0.4117647058823529,0.5384615384615384,0.3888888888888889,0.7733333333333333
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",3271999382,0.43307086614173224,0.5789473684210527,0.4074074074074074,0.8260869565217391
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",3135531715,0.4597701149425288,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",1559849029,0.4597701149425288,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",2001599670,0.4597701149425288,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",4153227838,0.4597701149425288,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",184032725,0.4597701149425288,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",3182243340,0.4597701149425288,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",172057461,0.4597701149425288,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",1849407242,0.4597701149425288,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",3770531320,0.4597701149425288,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",1460009595,0.2727272727272727,0.42857142857142855,0.25,0.7719298245614035
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",2116546449,0.4597701149425288,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v2,"{'penalty': 'none', 'max_iter': 1000}",2842914286,0.36585365853658536,0.6,0.3333333333333333,0.8260869565217391
LogisticRegression,v1,"{'penalty': 'none', 'max_iter': 1000}",2377099996,0.4597701149425288,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v2,"{'penalty': 'none', 'max_iter': 1000}",695169358,0.36585365853658536,0.6,0.3333333333333333,0.8260869565217391LogisticRegression,v1,"{'penalty': None, 'max_iter': 1000}",2157125413,0.45977011494252873,0.5333333333333333,0.4444444444444444,0.8152173913043478
LogisticRegression,v2,"{'penalty': None, 'max_iter': 1000}",4222754898,0.36585365853658536,0.6,0.3333333333333333,0.8260869565217391
DecisionTreeClassifier,v2,"{'max_depth': None, 'random_state': 42}",633328066,0.43010752688172044,0.38095238095238093,0.4444444444444444,0.75
RandomForestClassifier,v2,"{'n_estimators': 100, 'random_state': 42}",2040794130,0.25316455696202533,0.5714285714285714,0.2222222222222222,0.8152173913043478
LogisticRegression_L2,v2,"{'penalty': 'l2', 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000}",2606842420,0.3048780487804878,0.5,0.2777777777777778,0.8043478260869565
DecisionTreeClassifier_max_depth_3,v2,"{'max_depth': 3, 'random_state': 42}",4293790750,0.35294117647058826,0.46153846153846156,0.3333333333333333,0.7934782608695652
DecisionTreeClassifier_max_depth_5,v2,"{'max_depth': 5, 'random_state': 42}",2990788312,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.782608695652174
